,Trip Names,Prices ,Discounted_Prices ,Discount,Duration
261,Vietnam Honeymoon Trip - Hanoi & Da Nang,N/A,65000 per person,0,7 Days 6 Nights
262,Southern Vietnam - Honeymoon Special,N/A,40000 per person,0,5 Days 4 Nights
263,Northern Vietnam - Honeymoon Special,N/A,40000 per person,0,5 Days 4 Nights
264,Manali Honeymoon Trip - 6 Days 5 Nights,N/A,44500 per person,0,6 Days 5 Nights
265,Kashmir Honeymoon Package 7 Days 6 Nights,N/A,38500 per person,0,7 Days 6 Nights
266,Manali Jibhi Honeymoon Trip,N/A,28000 per person,0,4 Days 3 Nights
267,Kasol Manali JIbhi Honeymoon Trip,N/A,29999 per person,0,5 Days 4 Nights
268,Manali Honeymoon Trip - 6 Days 5 Nights,N/A,44500 per person,0,6 Days 5 Nights
269,Kashmir Honeymoon Package 7 Days 6 Nights,N/A,38500 per person,0,7 Days 6 Nights
270,Manali Jibhi Honeymoon Trip,N/A,28000 per person,0,4 Days 3 Nights
271,Kasol Manali JIbhi Honeymoon Trip,N/A,29999 per person,0,5 Days 4 Nights
272,Honeymoon Special- Chandigarh Shimla Manali,N/A,20000 per person,0,5 Days 4 Nights
273,Honeymoon Special- Himachal Pardesh,65000,60000 per person,5000,9 Days 8 Nights
274,Phuket Krabi Honeymoon Trip,N/A,58000 per person,0,6 Days 5 Nights
275,Honeymoon Special - Phuket Krabi,N/A,48000 per person,0,5 Days 4 Nights
276,Honeymoon Special- Shimla to Manali,N/A,23000 per person,0,6 Days 5 Nights
277,Vietnam Honeymoon Trip - Hanoi & Da Nang,N/A,65000 per person,0,7 Days 6 Nights
278,Southern Vietnam - Honeymoon Special,N/A,40000 per person,0,5 Days 4 Nights
279,Northern Vietnam - Honeymoon Special,N/A,40000 per person,0,5 Days 4 Nights
280,Manali Honeymoon Trip - 6 Days 5 Nights,N/A,44500 per person,0,6 Days 5 Nights
281,Kashmir Honeymoon Package 7 Days 6 Nights,N/A,38500 per person,0,7 Days 6 Nights
282,Manali Jibhi Honeymoon Trip,N/A,28000 per person,0,4 Days 3 Nights
283,Kasol Manali JIbhi Honeymoon Trip,N/A,29999 per person,0,5 Days 4 Nights
284,Honeymoon Special- Chandigarh Shimla Manali,N/A,20000 per person,0,5 Days 4 Nights
285,Honeymoon Special- Himachal Pardesh,65000,60000 per person,5000,9 Days 8 Nights
286,Phuket Krabi Honeymoon Trip,N/A,58000 per person,0,6 Days 5 Nights
287,Honeymoon Special - Phuket Krabi,N/A,48000 per person,0,5 Days 4 Nights
288,Honeymoon Special- Shimla to Manali,N/A,23000 per person,0,6 Days 5 Nights
289,Vietnam Honeymoon Trip - Hanoi & Da Nang,N/A,65000 per person,0,7 Days 6 Nights
290,Southern Vietnam - Honeymoon Special,N/A,40000 per person,0,5 Days 4 Nights
291,Northern Vietnam - Honeymoon Special,N/A,40000 per person,0,5 Days 4 Nights
292,Manali Honeymoon Trip - 6 Days 5 Nights,N/A,44500 per person,0,6 Days 5 Nights
293,Kashmir Honeymoon Package 7 Days 6 Nights,N/A,38500 per person,0,7 Days 6 Nights
294,Manali Jibhi Honeymoon Trip,N/A,28000 per person,0,4 Days 3 Nights
295,Kasol Manali JIbhi Honeymoon Trip,N/A,29999 per person,0,5 Days 4 Nights
296,Chakrata Corporate Trip,N/A,5500 per person,0,2 Days 1 Night
297,Kanatal Corporate Trip,N/A,3500 per person,0,2 Days 1 Night
298,Jim Corbett  - 2D1N,N/A,3600 per person,0,2 Days 1 Night
299,Chakrata Corporate Trip,N/A,5500 per person,0,2 Days 1 Night
300,Kanatal Corporate Trip,N/A,3500 per person,0,2 Days 1 Night
301,Jim Corbett  - 2D1N,N/A,3600 per person,0,2 Days 1 Night
302,Chakrata Corporate Trip,N/A,5500 per person,0,2 Days 1 Night
303,Kanatal Corporate Trip,N/A,3500 per person,0,2 Days 1 Night
304,Jim Corbett  - 2D1N,N/A,3600 per person,0,2 Days 1 Night
305,Chakrata Corporate Trip,N/A,5500 per person,0,2 Days 1 Night
306,Kanatal Corporate Trip,N/A,3500 per person,0,2 Days 1 Night
307,Jim Corbett  - 2D1N,N/A,3600 per person,0,2 Days 1 Night
